Service,ID,Action,Output,Details,Possible Executor(s),Current Executor,Improvement,Category
County Research,1,Collect,Sites & Systems,"Research county-specific auction processes, rules, and schedules.","Developer,Lawyer,Third Party",Developer,Standardize and automate collection of auction methodologies to improve efficiency.,Surplus Collection
Auction Monitoring,2,Collect,Auctions,Track upcoming auctions across multiple counties.,"Developer,Lawyer,Third Party",Developer,Automate retrieval of auction schedules to improve efficiency and accuracy.,Surplus Collection
Auction Data Collection,3,Collect,Properties,"Collect auction data, including tax IDs and final bid amounts.","Developer,Lawyer,Third Party",Developer,Automate data extraction to gather information quickly and reduce errors.,Surplus Collection
Owner Information Gathering,4,Collect,Owners,Obtain property owner details from county records and tax assessor websites.,"Developer,Lawyer,Third Party",Developer,Automate retrieval of owner information to save time and improve accuracy.,Surplus Collection
Delinquent Tax Research,5,Collect,Taxes,Research and compile delinquent tax amounts owed by property owners.,"Developer,Lawyer,Third Party",Developer,Automate tax data collection to expedite the process.,Surplus Collection
Surplus Calculation,6,Calculate,Surplus,Determine surplus amounts based on auction results and tax data.,"Developer,Lawyer,Third Party",Developer,Use software to calculate surplus amounts accurately and quickly.,Surplus Collection
Skip Tracing for Owners,7,Collect,Owner Contact,Locate current contact information for property owners.,"Developer,Lawyer,Third Party",Developer,Automate skip tracing using advanced software.,Contact Claimant
Heir Identification,8,Collect,Heirs,"Identify relatives and heirs, including relationships and contact details.","Developer,Lawyer,Third Party",Developer,Automate identification of heirs using specialized databases and algorithms.,Contact Claimant
Letter Preparation,9,Prepare,Mailers,"Prepare personalized letters to owners, heirs, and claimants.","Developer,Lawyer,Third Party",Developer,Use templates and automation to generate letters en masse.,Contact Claimant
Mailing Execution,10,Send,Mailers,"Print, address, and mail letters to identified contacts.","Developer,Lawyer,Third Party",Developer,Automate mailing processes to handle bulk mailings efficiently.,Contact Claimant
Follow-Up Preparation,11,Prepare,Mailers,Prepare follow-up letters to non-responsive clients.,"Developer,Lawyer,Third Party",Developer,Automate creation of follow-up letters using logic and scheduling.,Contact Claimant
Automated Client Follow-Ups,12,Send,Mailers,Send follow-up letters to non-responsive clients.,"Developer,Lawyer,Third Party",Developer,Automate sending of follow-up communications.,Contact Claimant
Receive Client Inquiries,13,Receive,Inquiries,Answer calls and messages from potential clients reached through mailings.,"Lawyer,Developer,Third Party",Lawyer,Use support staff to assist in initial call handling.,Signup Claimant
